,merchant_id,Cluster_k22_GMM_AIC_BIC
0,M_ID_000025127f,8
1,M_ID_0000699140,15
2,M_ID_000087311e,8
3,M_ID_0000ab0b2d,2
4,M_ID_0000edb21f,11
5,M_ID_0000f3475c,1
6,M_ID_0000fd7caf,15
7,M_ID_0001c38687,17
8,M_ID_0002237144,13
9,M_ID_0002299001,8
10,M_ID_0002812aa2,11
11,M_ID_0002a794ed,1
12,M_ID_0002d0a10a,10
13,M_ID_0002e246b1,13
14,M_ID_00037f6a5d,15
15,M_ID_0003f1b272,16
16,M_ID_0003f9a7c4,0
17,M_ID_0004167a9b,6
18,M_ID_00043c6fe0,0
19,M_ID_0004573bc3,6
20,M_ID_00047f644c,21
21,M_ID_0004e8d213,15
22,M_ID_000501e9c4,13
23,M_ID_00054eb49b,11
24,M_ID_000572bc62,15
25,M_ID_0006223b70,16
26,M_ID_0006591673,2
27,M_ID_0006ab3a62,1
28,M_ID_0006db8770,9
29,M_ID_0006f62f5c,1
30,M_ID_000785fee2,7
31,M_ID_00080405be,1
32,M_ID_00087160af,1
33,M_ID_00088af487,16
34,M_ID_0008d05939,13
35,M_ID_0008e4ab92,1
36,M_ID_00093f8d92,8
37,M_ID_00095f4afc,1
38,M_ID_000978f3c7,15
39,M_ID_0009c4a79c,19
40,M_ID_000a3bdc23,6
41,M_ID_000a990142,11
42,M_ID_000ab1982d,12
43,M_ID_000aee260b,8
44,M_ID_000bfbd049,17
45,M_ID_000c2d6393,6
46,M_ID_000c6ff90a,14
47,M_ID_000d8e004b,8
48,M_ID_000e05403c,0
49,M_ID_000e2b50d9,1
50,M_ID_000ee8353e,17
51,M_ID_000f057045,17
52,M_ID_00108464ed,1
53,M_ID_0010f8b64d,8
54,M_ID_0010f99a98,8
55,M_ID_00110f730e,11
56,M_ID_0011761fe2,11
57,M_ID_00120a012e,15
58,M_ID_00120edbcb,10
59,M_ID_001223ffe3,2
60,M_ID_0012c40b70,0
61,M_ID_0012ed46b7,11
62,M_ID_0012f3b727,13
63,M_ID_001306f1cb,1
64,M_ID_0013d298b2,2
65,M_ID_0013da8b1d,2
66,M_ID_00150862c7,0
67,M_ID_001517f940,21
68,M_ID_0016a78910,13
69,M_ID_0016c48e36,11
70,M_ID_0018a82b56,17
71,M_ID_0018c9c0d8,11
72,M_ID_0018f96cd5,15
73,M_ID_001938bf7e,17
74,M_ID_00194b3e7e,0
75,M_ID_00194f8c74,21
76,M_ID_0019d5fa94,8
77,M_ID_0019f0dbef,13
78,M_ID_001abe0f47,17
79,M_ID_001ad947a6,8
80,M_ID_001adc5332,15
81,M_ID_001ae709d0,19
82,M_ID_001c879eac,7
83,M_ID_001d92b649,5
84,M_ID_001e755068,17
85,M_ID_001e760a36,13
86,M_ID_001e8a571a,17
87,M_ID_001f188e08,8
88,M_ID_001f20e3f9,17
89,M_ID_001f2a0d1d,1
90,M_ID_001f4e9b7d,8
91,M_ID_0020514c80,19
92,M_ID_00217efbbb,13
93,M_ID_00222c0d45,1
94,M_ID_00228aefc4,7
95,M_ID_0023141743,1
96,M_ID_002384f460,0
97,M_ID_0023dd30e7,1
98,M_ID_0023ecd20e,19
99,M_ID_002405d851,0
100,M_ID_00246be5c3,0
101,M_ID_0024b4d197,15
102,M_ID_00259bf1fd,8
103,M_ID_0025db4e58,15
104,M_ID_00264da178,9
105,M_ID_00268fa336,13
106,M_ID_00273a4b5c,16
107,M_ID_00273d0621,1
108,M_ID_00287deca5,15
109,M_ID_00297d3e46,1
110,M_ID_0029930f70,2
111,M_ID_0029b51dd4,14
112,M_ID_002a46d5e9,11
113,M_ID_002a93c470,8
114,M_ID_002aef65b0,8
115,M_ID_002b3f848c,2
116,M_ID_002bb595f1,11
117,M_ID_002bc8d51f,14
118,M_ID_002bcd18da,2
119,M_ID_002c446f48,6
120,M_ID_002d4ab220,14
121,M_ID_002da5a4b3,11
122,M_ID_002eaa4a3d,15
123,M_ID_002ed04ceb,14
124,M_ID_002ed1d2dd,8
125,M_ID_002f51ae9f,0
126,M_ID_002fb3b301,11
127,M_ID_002fbf1c79,0
128,M_ID_00304accf5,0
129,M_ID_0030b8d95c,8
130,M_ID_0031073de4,17
131,M_ID_0031434fdd,15
132,M_ID_0031578c35,8
133,M_ID_00316aaf4c,15
134,M_ID_0031859046,15
135,M_ID_0031a098ae,11
136,M_ID_0031db868b,2
137,M_ID_00321802f9,1
138,M_ID_003271751d,2
139,M_ID_0032c39726,13
140,M_ID_0032fc3ab0,15
141,M_ID_0033268c3e,6
142,M_ID_003346b4ec,14
143,M_ID_0034161a19,11
144,M_ID_00341ca50b,2
145,M_ID_0034683b54,17
146,M_ID_00349bcd59,17
147,M_ID_0034ac8879,21
148,M_ID_0034f4fd5e,17
149,M_ID_003556d3c8,8
150,M_ID_0035a90d3d,11
151,M_ID_003646834a,8
152,M_ID_00366d5220,2
153,M_ID_0036f54631,0
154,M_ID_003744d4bd,2
155,M_ID_0037509d8a,8
156,M_ID_00376afe3f,1
157,M_ID_003836c8ad,13
158,M_ID_0038370a3a,20
159,M_ID_00384b3c14,14
160,M_ID_0039091d03,8
161,M_ID_003909c3db,2
162,M_ID_0039220eb3,7
163,M_ID_003922e63d,14
164,M_ID_0039d920e4,15
165,M_ID_0039e2f1a4,1
166,M_ID_0039e94e29,2
167,M_ID_003a33a061,2
168,M_ID_003a8a8168,1
169,M_ID_003aa1e359,13
170,M_ID_003aeaea6d,0
171,M_ID_003b770759,2
172,M_ID_003b8dff7c,13
173,M_ID_003bb7fab6,8
174,M_ID_003c4123f3,15
175,M_ID_003c62dd97,16
176,M_ID_003cdbf973,13
177,M_ID_003d680268,17
178,M_ID_003d7d20b7,19
179,M_ID_003d8dadff,20
180,M_ID_003e1d2571,15
181,M_ID_003f2ffd40,17
182,M_ID_00401a4922,17
183,M_ID_00405aa574,13
184,M_ID_0040a319cb,11
185,M_ID_0041831bc4,8
186,M_ID_0041928d5e,16
187,M_ID_0041b721d8,9
