,merchant_id,Cluster_k2_SLH
0,M_ID_000025127f,0
1,M_ID_0000699140,0
2,M_ID_000087311e,0
3,M_ID_0000ab0b2d,0
4,M_ID_0000edb21f,0
5,M_ID_0000f3475c,0
6,M_ID_0000fd7caf,0
7,M_ID_0001c38687,0
8,M_ID_0002237144,0
9,M_ID_0002299001,0
10,M_ID_0002812aa2,0
11,M_ID_0002a794ed,0
12,M_ID_0002d0a10a,0
13,M_ID_0002e246b1,0
14,M_ID_00037f6a5d,0
15,M_ID_0003f1b272,0
16,M_ID_0003f9a7c4,0
17,M_ID_0004167a9b,0
18,M_ID_00043c6fe0,0
19,M_ID_0004573bc3,0
20,M_ID_00047f644c,0
21,M_ID_0004e8d213,0
22,M_ID_000501e9c4,0
23,M_ID_00054eb49b,0
24,M_ID_000572bc62,0
25,M_ID_0006223b70,0
26,M_ID_0006591673,0
27,M_ID_0006ab3a62,0
28,M_ID_0006db8770,0
29,M_ID_0006f62f5c,0
30,M_ID_000785fee2,0
31,M_ID_00080405be,0
32,M_ID_00087160af,0
33,M_ID_00088af487,0
34,M_ID_0008d05939,0
35,M_ID_0008e4ab92,0
36,M_ID_00093f8d92,0
37,M_ID_00095f4afc,0
38,M_ID_000978f3c7,0
39,M_ID_0009c4a79c,0
40,M_ID_000a3bdc23,0
41,M_ID_000a990142,0
42,M_ID_000ab1982d,0
43,M_ID_000aee260b,0
44,M_ID_000bfbd049,0
45,M_ID_000c2d6393,0
46,M_ID_000c6ff90a,0
47,M_ID_000d8e004b,0
48,M_ID_000e05403c,0
49,M_ID_000e2b50d9,0
50,M_ID_000ee8353e,0
51,M_ID_000f057045,0
52,M_ID_00108464ed,0
53,M_ID_0010f8b64d,0
54,M_ID_0010f99a98,0
55,M_ID_00110f730e,0
56,M_ID_0011761fe2,0
57,M_ID_00120a012e,0
58,M_ID_00120edbcb,0
59,M_ID_001223ffe3,0
60,M_ID_0012c40b70,0
61,M_ID_0012ed46b7,0
62,M_ID_0012f3b727,0
63,M_ID_001306f1cb,0
64,M_ID_0013d298b2,0
65,M_ID_0013da8b1d,0
66,M_ID_00150862c7,0
67,M_ID_001517f940,0
68,M_ID_0016a78910,0
69,M_ID_0016c48e36,0
70,M_ID_0018a82b56,0
71,M_ID_0018c9c0d8,0
72,M_ID_0018f96cd5,0
73,M_ID_001938bf7e,0
74,M_ID_00194b3e7e,0
75,M_ID_00194f8c74,0
76,M_ID_0019d5fa94,0
77,M_ID_0019f0dbef,0
78,M_ID_001abe0f47,0
79,M_ID_001ad947a6,0
80,M_ID_001adc5332,0
81,M_ID_001ae709d0,0
82,M_ID_001c879eac,0
83,M_ID_001d92b649,0
84,M_ID_001e755068,0
85,M_ID_001e760a36,0
86,M_ID_001e8a571a,0
87,M_ID_001f188e08,0
88,M_ID_001f20e3f9,0
89,M_ID_001f2a0d1d,0
90,M_ID_001f4e9b7d,0
91,M_ID_0020514c80,0
92,M_ID_00217efbbb,0
93,M_ID_00222c0d45,0
94,M_ID_00228aefc4,0
95,M_ID_0023141743,0
96,M_ID_002384f460,0
97,M_ID_0023dd30e7,0
