,merchant_id,Cluster_k3_DB
0,M_ID_000025127f,1
1,M_ID_0000699140,1
2,M_ID_000087311e,1
3,M_ID_0000ab0b2d,1
4,M_ID_0000edb21f,1
5,M_ID_0000f3475c,1
6,M_ID_0000fd7caf,1
7,M_ID_0001c38687,1
8,M_ID_0002237144,1
9,M_ID_0002299001,1
10,M_ID_0002812aa2,1
11,M_ID_0002a794ed,1
12,M_ID_0002d0a10a,0
13,M_ID_0002e246b1,1
14,M_ID_00037f6a5d,1
15,M_ID_0003f1b272,1
16,M_ID_0003f9a7c4,1
17,M_ID_0004167a9b,1
18,M_ID_00043c6fe0,1
19,M_ID_0004573bc3,1
20,M_ID_00047f644c,0
21,M_ID_0004e8d213,1
22,M_ID_000501e9c4,1
23,M_ID_00054eb49b,1
24,M_ID_000572bc62,1
25,M_ID_0006223b70,1
26,M_ID_0006591673,1
27,M_ID_0006ab3a62,1
28,M_ID_0006db8770,1
29,M_ID_0006f62f5c,1
30,M_ID_000785fee2,0
31,M_ID_00080405be,1
32,M_ID_00087160af,1
33,M_ID_00088af487,1
34,M_ID_0008d05939,1
35,M_ID_0008e4ab92,1
36,M_ID_00093f8d92,1
37,M_ID_00095f4afc,1
38,M_ID_000978f3c7,1
39,M_ID_0009c4a79c,1
40,M_ID_000a3bdc23,1
41,M_ID_000a990142,1
42,M_ID_000ab1982d,1
43,M_ID_000aee260b,1
44,M_ID_000bfbd049,1
45,M_ID_000c2d6393,1
46,M_ID_000c6ff90a,1
47,M_ID_000d8e004b,1
48,M_ID_000e05403c,1
49,M_ID_000e2b50d9,1
50,M_ID_000ee8353e,1
51,M_ID_000f057045,1
52,M_ID_00108464ed,1
53,M_ID_0010f8b64d,1
54,M_ID_0010f99a98,1
55,M_ID_00110f730e,1
56,M_ID_0011761fe2,1
57,M_ID_00120a012e,1
58,M_ID_00120edbcb,0
59,M_ID_001223ffe3,1
60,M_ID_0012c40b70,1
61,M_ID_0012ed46b7,1
62,M_ID_0012f3b727,1
63,M_ID_001306f1cb,1
64,M_ID_0013d298b2,1
65,M_ID_0013da8b1d,1
66,M_ID_00150862c7,1
67,M_ID_001517f940,1
68,M_ID_0016a78910,1
69,M_ID_0016c48e36,1
70,M_ID_0018a82b56,1
71,M_ID_0018c9c0d8,1
72,M_ID_0018f96cd5,1
73,M_ID_001938bf7e,1
74,M_ID_00194b3e7e,1
75,M_ID_00194f8c74,1
76,M_ID_0019d5fa94,1
77,M_ID_0019f0dbef,1
78,M_ID_001abe0f47,1
79,M_ID_001ad947a6,1
80,M_ID_001adc5332,1
81,M_ID_001ae709d0,1
82,M_ID_001c879eac,0
83,M_ID_001d92b649,1
84,M_ID_001e755068,1
85,M_ID_001e760a36,1
86,M_ID_001e8a571a,1
87,M_ID_001f188e08,1
88,M_ID_001f20e3f9,1
89,M_ID_001f2a0d1d,1
90,M_ID_001f4e9b7d,1
91,M_ID_0020514c80,1
92,M_ID_00217efbbb,1
93,M_ID_00222c0d45,1
94,M_ID_00228aefc4,0
95,M_ID_0023141743,1
96,M_ID_002384f460,1
97,M_ID_0023dd30e7,1
98,M_ID_0023ecd20e,1
99,M_ID_002405d851,1
100,M_ID_00246be5c3,1
101,M_ID_0024b4d197,1
102,M_ID_00259bf1fd,1
103,M_ID_0025db4e58,1
104,M_ID_00264da178,1
105,M_ID_00268fa336,1
106,M_ID_00273a4b5c,1
107,M_ID_00273d0621,1
108,M_ID_00287deca5,1
109,M_ID_00297d3e46,1
110,M_ID_0029930f70,1
111,M_ID_0029b51dd4,1
112,M_ID_002a46d5e9,1
113,M_ID_002a93c470,1
114,M_ID_002aef65b0,1
115,M_ID_002b3f848c,1
116,M_ID_002bb595f1,1
117,M_ID_002bc8d51f,1
118,M_ID_002bcd18da,1
119,M_ID_002c446f48,1
120,M_ID_002d4ab220,1
121,M_ID_002da5a4b3,1
122,M_ID_002eaa4a3d,1
123,M_ID_002ed04ceb,1
124,M_ID_002ed1d2dd,1
125,M_ID_002f51ae9f,1
126,M_ID_002fb3b301,1
127,M_ID_002fbf1c79,1
128,M_ID_00304accf5,1
129,M_ID_0030b8d95c,1
130,M_ID_0031073de4,1
131,M_ID_0031434fdd,1
132,M_ID_0031578c35,1
133,M_ID_00316aaf4c,1
134,M_ID_0031859046,1
135,M_ID_0031a098ae,1
136,M_ID_0031db868b,1
137,M_ID_00321802f9,1
138,M_ID_003271751d,1
139,M_ID_0032c39726,1
140,M_ID_0032fc3ab0,1
141,M_ID_0033268c3e,1
142,M_ID_003346b4ec,1
143,M_ID_0034161a19,1
144,M_ID_00341ca50b,1
145,M_ID_0034683b54,1
146,M_ID_00349bcd59,1
147,M_ID_0034ac8879,1
148,M_ID_0034f4fd5e,1
149,M_ID_003556d3c8,1
150,M_ID_0035a90d3d,1
151,M_ID_003646834a,1
152,M_ID_00366d5220,1
153,M_ID_0036f54631,1
154,M_ID_003744d4bd,1
155,M_ID_0037509d8a,1
156,M_ID_00376afe3f,1
157,M_ID_003836c8ad,1
158,M_ID_0038370a3a,0
159,M_ID_00384b3c14,1
160,M_ID_0039091d03,1
161,M_ID_003909c3db,1
162,M_ID_0039220eb3,0
163,M_ID_003922e63d,1
164,M_ID_0039d920e4,1
165,M_ID_0039e2f1a4,1
166,M_ID_0039e94e29,1
167,M_ID_003a33a061,1
168,M_ID_003a8a8168,1
169,M_ID_003aa1e359,1
170,M_ID_003aeaea6d,1
171,M_ID_003b770759,1
172,M_ID_003b8dff7c,1
173,M_ID_003bb7fab6,1
174,M_ID_003c4123f3,1
175,M_ID_003c62dd97,1
176,M_ID_003cdbf973,1
177,M_ID_003d680268,1
178,M_ID_003d7d20b7,1
179,M_ID_003d8dadff,1
180,M_ID_003e1d2571,1
181,M_ID_003f2ffd40,1
182,M_ID_00401a4922,1
183,M_ID_00405aa574,1
184,M_ID_0040a319cb,1
185,M_ID_0041831bc4,1
186,M_ID_0041928d5e,1
187,M_ID_0041b721d8,1
188,M_ID_0041fa169a,1
189,M_ID_004232f0ff,1
190,M_ID_0042b4723b,1
191,M_ID_0043132ca5,1
192,M_ID_00431d11b2,1
193,M_ID_0043c81502,1
194,M_ID_0043ea3f0c,1
195,M_ID_0043fd5e7a,0
196,M_ID_0044cf706a,1
197,M_ID_0045a38b9e,1
198,M_ID_0045b7c454,0
199,M_ID_0047308e63,1
200,M_ID_0047855719,1
201,M_ID_0047b11bed,1
202,M_ID_0048931212,1
203,M_ID_0048fab0c6,1
204,M_ID_004995eae1,1
205,M_ID_004a41fd71,1
206,M_ID_004a4360df,1
207,M_ID_004ac4f1d8,1
208,M_ID_004b50a5a1,1
209,M_ID_004b94715d,1
210,M_ID_004e4ded0b,1
211,M_ID_004e6a900d,1
212,M_ID_004ea209bc,1
213,M_ID_004eac6913,1
214,M_ID_00505bbb61,1
215,M_ID_005080446f,1
216,M_ID_0050a37b42,1
217,M_ID_0050cba10b,1
218,M_ID_00516bd57e,1
219,M_ID_00517bd092,1
220,M_ID_00519503f8,1
221,M_ID_005252c19c,1
222,M_ID_0052927d95,1
223,M_ID_0053aba662,1
224,M_ID_0053ba92ed,1
225,M_ID_0053cafe68,1
226,M_ID_00549991da,1
227,M_ID_0054bb2619,1
228,M_ID_00558f5808,1
229,M_ID_0055a982f3,1
230,M_ID_0055aba4e7,1
231,M_ID_00561a6784,1
232,M_ID_00561f44c2,1
233,M_ID_0056789c34,1
234,M_ID_0057a125a5,1
235,M_ID_0057d1bff6,1
236,M_ID_0057fea8f7,1
237,M_ID_00584b61b1,1
238,M_ID_005b757d68,1
239,M_ID_005be2327c,1
240,M_ID_005c31e95b,1
241,M_ID_005cd67d2d,1
242,M_ID_005d054515,1
243,M_ID_005db00e38,1
244,M_ID_005dded429,1
245,M_ID_005e780e45,1
246,M_ID_005eb01fb3,1
247,M_ID_005f8b5fe3,1
248,M_ID_005fcf95ca,1
249,M_ID_00600e617d,1
250,M_ID_00601f1632,1
251,M_ID_00602a5153,1
252,M_ID_0060aee5ac,1
253,M_ID_0060bb49b7,1
254,M_ID_00611108dc,1
255,M_ID_00611ebe80,1
256,M_ID_00619a3857,1
257,M_ID_00619bad74,1
258,M_ID_0061d20073,1
259,M_ID_0062c87d4c,1
260,M_ID_0062d302b7,1
261,M_ID_0062f29312,1
262,M_ID_0062ffd4e7,1
263,M_ID_00630e2fd3,1
264,M_ID_0063d2abd0,1
265,M_ID_0063f8ff0d,1
266,M_ID_00643eab33,1
267,M_ID_00645277f1,1
268,M_ID_00649511bc,1
269,M_ID_0064d433c1,1
270,M_ID_0064f08916,1
271,M_ID_0064f6e2b8,1
272,M_ID_0065080598,1
273,M_ID_00653588c2,1
274,M_ID_00656b9ac6,1
275,M_ID_0065c71e64,1
276,M_ID_0065e5f013,1
277,M_ID_00670641b5,1
278,M_ID_00674388cc,1
279,M_ID_00675d03d3,1
280,M_ID_0067611dfc,1
281,M_ID_0067835100,1
282,M_ID_0067af77ba,1
283,M_ID_0067e06a01,1
284,M_ID_00680e43aa,1
285,M_ID_00691460c3,1
286,M_ID_0069ffd95a,1
287,M_ID_006a27d1f1,1
288,M_ID_006a5f0f95,1
289,M_ID_006aa8470d,1
290,M_ID_006bb112d1,1
291,M_ID_006cc4aa6f,1
292,M_ID_006d580ce6,1
293,M_ID_006dfbc14d,1
294,M_ID_006e478bee,1
295,M_ID_006e4900a6,1
296,M_ID_006e59bb1e,0
297,M_ID_006e75fee7,1
298,M_ID_006ed55653,1
299,M_ID_006f4a2e8e,1
300,M_ID_006fae3140,1
301,M_ID_0070001ce1,1
302,M_ID_0070065c71,1
303,M_ID_0070462447,1
304,M_ID_0071988d26,1
305,M_ID_00722b29a5,1
306,M_ID_00728d0275,1
307,M_ID_0072c16981,1
308,M_ID_00735311d3,1
309,M_ID_0073b79a95,1
310,M_ID_00740802c4,1
311,M_ID_0074dd7c6e,1
312,M_ID_0074ef37cd,1
313,M_ID_007503e5af,1
314,M_ID_0075863218,1
315,M_ID_0075ca76fe,1
316,M_ID_00768931ee,1
317,M_ID_00774dcf34,1
318,M_ID_00779a4b5b,1
319,M_ID_0077bb3ebc,1
320,M_ID_0077de4c47,1
321,M_ID_0078819559,1
322,M_ID_007987a353,1
323,M_ID_0079fbb79d,1
324,M_ID_007a529544,1
325,M_ID_007a621d03,1
326,M_ID_007a68cbf1,1
327,M_ID_007ae3ecc1,1
328,M_ID_007b259447,1
329,M_ID_007b43c6f0,1
330,M_ID_007c453765,1
331,M_ID_007d1fdb33,1
332,M_ID_007d293dd0,1
333,M_ID_007d78504b,1
334,M_ID_007d80d7e4,1
335,M_ID_007d879ab0,1
336,M_ID_007d967f48,1
337,M_ID_007da49e6b,1
338,M_ID_007dbef18c,1
339,M_ID_007dc7c4be,1
340,M_ID_007dd5e450,1
341,M_ID_007dfccfc4,1
342,M_ID_007dfe829d,1
343,M_ID_007e0bc668,1
344,M_ID_007e2a55a3,1
345,M_ID_007eac3a46,1
346,M_ID_007f3f7698,1
347,M_ID_007f572edf,1
348,M_ID_00808ba5c3,1
349,M_ID_0081c58abb,1
350,M_ID_0081f3ff2b,1
351,M_ID_00820733aa,1
352,M_ID_008241749c,1
353,M_ID_008247246e,1
354,M_ID_0082528a42,1
355,M_ID_008270400b,1
356,M_ID_0083ec53d2,1
357,M_ID_0084832a89,1
358,M_ID_0084957334,1
359,M_ID_0084baec29,1
360,M_ID_008539267c,1
361,M_ID_0086682944,1
362,M_ID_0086960f6f,1
363,M_ID_0086eeb6bb,1
364,M_ID_00871a7c9b,1
365,M_ID_00871b34e1,1
366,M_ID_008742417f,1
367,M_ID_008764f881,1
368,M_ID_0087f15f22,1
369,M_ID_008812bbde,1
370,M_ID_008891aa04,1
371,M_ID_0088a40a77,1
372,M_ID_0088a6bc83,1
373,M_ID_0088e0fbb9,1
374,M_ID_0088fa4e2a,1
375,M_ID_008920ed5a,1
376,M_ID_008974ae3c,1
377,M_ID_008ab63524,1
378,M_ID_008b8fe797,1
379,M_ID_008bd7426e,1
380,M_ID_008c02ed06,1
381,M_ID_008c7f7615,1
382,M_ID_008c9505cf,1
383,M_ID_008d1d59e1,1
384,M_ID_008d51d376,1
385,M_ID_008e0a940d,1
386,M_ID_008e65952c,1
387,M_ID_008eb6c4cd,1
388,M_ID_008ecd8b06,1
389,M_ID_008edbfd3d,1
390,M_ID_008f09b986,1
391,M_ID_008f73d483,1
392,M_ID_008ff1929c,1
393,M_ID_00901dee39,1
394,M_ID_009074f3ff,1
395,M_ID_0090fcdf5d,1
396,M_ID_0091868137,1
397,M_ID_00920cca39,1
398,M_ID_00928373ad,1
399,M_ID_0092dbfac8,1
400,M_ID_0092fbbc5f,1
401,M_ID_0093077e0b,1
402,M_ID_00936e7a59,1
403,M_ID_0094b0e23a,1
404,M_ID_0094d268d9,1
405,M_ID_0094d9b03d,1
406,M_ID_00955f48d8,1
407,M_ID_0095723b33,1
408,M_ID_0095c0d2ca,1
409,M_ID_0095c7a535,1
410,M_ID_00961419ca,1
411,M_ID_0096d62566,1
412,M_ID_0097089812,1
413,M_ID_00971b1eff,1
414,M_ID_009769833d,1
415,M_ID_0097bb2d73,1
416,M_ID_0097c14419,1
417,M_ID_0097cfabd2,1
418,M_ID_00987fd4e7,1
419,M_ID_0098825415,1
420,M_ID_00988a926d,1
421,M_ID_0099b6483f,1
422,M_ID_009a1c2103,1
423,M_ID_009a3d6513,1
424,M_ID_009aa7780e,1
425,M_ID_009ae274e9,1
426,M_ID_009c382f16,1
427,M_ID_009d260a8b,1
428,M_ID_009d2f90d5,1
429,M_ID_009d9f5aad,1
430,M_ID_009da2934f,1
431,M_ID_009dfa6f2b,1
432,M_ID_009e048c23,1
433,M_ID_009e56a4b3,1
434,M_ID_009e89b4d0,1
435,M_ID_009f533a67,1
436,M_ID_009f61d7eb,1
437,M_ID_009f678280,1
438,M_ID_00a01bd6d6,1
439,M_ID_00a02a522e,1
440,M_ID_00a041bb49,1
441,M_ID_00a046c960,1
442,M_ID_00a14b2ca2,1
443,M_ID_00a14be5e8,1
444,M_ID_00a14f5e1a,1
445,M_ID_00a164e0cd,1
446,M_ID_00a1e8d937,1
447,M_ID_00a226aa22,1
448,M_ID_00a2505bfa,1
449,M_ID_00a26c6d23,1
450,M_ID_00a2ba23ac,1
451,M_ID_00a3013354,1
452,M_ID_00a30a27db,1
453,M_ID_00a3134752,1
454,M_ID_00a3bfa0e2,1
455,M_ID_00a3c08874,1
456,M_ID_00a3cff544,1
457,M_ID_00a3e52ec6,1
458,M_ID_00a40ad9f0,1
459,M_ID_00a43a18a3,1
460,M_ID_00a60e69c3,1
461,M_ID_00a63fb502,1
462,M_ID_00a6ae48d8,1
463,M_ID_00a6ca8a8a,1
464,M_ID_00a76ee52c,1
465,M_ID_00a80ba8dd,1
466,M_ID_00a83da3ab,1
467,M_ID_00a84277d7,1
468,M_ID_00a9a722d9,1
469,M_ID_00aa7c36b9,1
470,M_ID_00ab68a5ca,1
471,M_ID_00abb15f91,1
472,M_ID_00ac9d22a2,1
473,M_ID_00ace1ebae,1
474,M_ID_00ad121a1e,1
475,M_ID_00ad2b9f6f,1
476,M_ID_00ad73edc1,0
477,M_ID_00ad776ef5,1
478,M_ID_00adc4afb4,1
479,M_ID_00adcbfe87,1
480,M_ID_00add99c53,1
481,M_ID_00ade6b8ba,1
482,M_ID_00ae6d79d3,1
483,M_ID_00aea8454a,1
484,M_ID_00af1c8cdd,1
485,M_ID_00af9d1a75,1
486,M_ID_00aff6f7b6,1
487,M_ID_00affb8141,1
488,M_ID_00b018b01e,1
489,M_ID_00b08c5fe6,1
490,M_ID_00b0a50085,1
491,M_ID_00b0bdd190,1
492,M_ID_00b0f4f046,1
493,M_ID_00b1068ceb,1
494,M_ID_00b16b94a9,1
495,M_ID_00b19e9774,1
496,M_ID_00b1c5611f,1
497,M_ID_00b1d34abd,1
498,M_ID_00b2aa8a98,1
499,M_ID_00b36e2cf2,1
500,M_ID_00b3c27bd3,1
501,M_ID_00b405a56d,1
502,M_ID_00b4871bc6,1
503,M_ID_00b4afd50c,1
504,M_ID_00b4f8c173,1
505,M_ID_00b4fe8bf1,1
506,M_ID_00b558197a,1
507,M_ID_00b5953bb2,1
508,M_ID_00b62d60d3,1
509,M_ID_00b63cac58,1
510,M_ID_00b67fe8f3,1
511,M_ID_00b6b979ef,1
512,M_ID_00b6ddeac6,1
513,M_ID_00b6e7f46b,1
514,M_ID_00b6f61b2e,1
515,M_ID_00b7347b96,1
516,M_ID_00b7788c91,1
517,M_ID_00b79f812b,1
518,M_ID_00b8af5a6a,1
519,M_ID_00b8b33866,1
520,M_ID_00b8bf78cf,1
521,M_ID_00bb579d2d,1
522,M_ID_00bbbfcba8,1
523,M_ID_00bbf674a3,1
524,M_ID_00bc255f4f,1
525,M_ID_00bc815c1d,1
526,M_ID_00bca876ae,1
527,M_ID_00bd13193a,1
528,M_ID_00bd5e7034,1
529,M_ID_00bd932b8d,1
530,M_ID_00be3f4fa4,1
531,M_ID_00be66b806,1
532,M_ID_00bee65fd2,1
533,M_ID_00bf62b5c8,1
534,M_ID_00bf737901,1
535,M_ID_00bf80687b,1
536,M_ID_00bfb29f93,1
537,M_ID_00c0034225,1
538,M_ID_00c122bb06,1
539,M_ID_00c173469d,1
540,M_ID_00c1a66429,1
541,M_ID_00c1fe529c,0
542,M_ID_00c29409ef,1
543,M_ID_00c2bb28ca,1
544,M_ID_00c2f2ad26,1
545,M_ID_00c43dc392,1
546,M_ID_00c4ba5a93,1
547,M_ID_00c4ba6eb7,1
548,M_ID_00c4f01af7,1
549,M_ID_00c4f79926,1
550,M_ID_00c54933fa,1
551,M_ID_00c57eaac8,1
552,M_ID_00c5ea0e65,1
553,M_ID_00c6b0e524,1
554,M_ID_00c75b582d,1
555,M_ID_00c7d96c88,1
556,M_ID_00c8132c7e,1
557,M_ID_00c852e4db,1
558,M_ID_00c882012c,1
559,M_ID_00c8987f23,1
560,M_ID_00c94e592f,1
561,M_ID_00c952263e,1
562,M_ID_00c9678c6b,1
563,M_ID_00c9b46259,1
564,M_ID_00ca0144d5,1
565,M_ID_00cb205b0e,1
566,M_ID_00cb2ac9aa,1
567,M_ID_00cb81b9a4,1
568,M_ID_00cbca1cc3,1
569,M_ID_00cbd8730b,1
570,M_ID_00ccf835a8,1
571,M_ID_00cd23d178,1
572,M_ID_00cd968297,1
573,M_ID_00cd9f48de,1
574,M_ID_00cdbaeb95,1
575,M_ID_00ce7087bc,1
576,M_ID_00cec07b10,1
577,M_ID_00cf328441,1
578,M_ID_00d02accc3,1
579,M_ID_00d194b27b,1
580,M_ID_00d22b88ef,1
581,M_ID_00d2e1c20f,1
582,M_ID_00d3055cce,1
583,M_ID_00d36f56e7,1
584,M_ID_00d4322434,1
585,M_ID_00d4498819,1
586,M_ID_00d4a31f69,1
587,M_ID_00d4a98647,1
588,M_ID_00d55cb7c4,0
589,M_ID_00d58def33,1
590,M_ID_00d5c8a6fe,1
591,M_ID_00d644c37f,1
592,M_ID_00d70ea6eb,1
593,M_ID_00d7218254,1
594,M_ID_00d82631f6,1
